,Training 11,Training 14,Training 4,Operation 9,Operation 6,Operation 7,Operation 11,Meeting 12,Operation 1,Training 16,Training 1,Operation 12,Operation 4,Training 3,Training 13,Operation 13,Meeting  1,Training 5,Operation 8,Meeting  2,Operation 14,Meeting  3,Training 2,Meeting  4,Training 7,Meeting  5,Meeting  6,Meeting  7,Meeting 13,Meeting  8,Meeting  9,Training 10,Training 6,Operation 10,Training 9,Meeting 10,Training 8,Operation 3,Meeting 11,Meeting 14,Meeting 15,Meeting 16,Meeting 17,Meeting 18,Meeting 19,Operation 2,Meeting 20,Training 15,Training 12,Operation 5,,,,,
,"Oct 99 Waimurat, Buru Training",Solo Course,99 Mindanao Training,Mosque Bombing in Yogyakarta (2000),Bombing Attack on Philippine Ambassador in Jakarta (Aug 00),Christmas Eve Bombings    (Dec 00),Rizal Day Bombing (Dec 00),,Atrium Mall Bombing (Aug 01),08-01 to 09-01 Training ,01-02 Ujung Kulon Training,Robbery To Raise Funds For Bali I (Aug 02),Bali I    (Oct 02),03 Rois Training,Post-Bali Mil Refresh Training,Robbery of Medan Bank (May 03),,Australian Embassy Religious Training,Marriott (Aug 03),,Robbery of Mobile Phone Store in Pekalongan (Sep 03),,03 Mindanao Training,,Jan 04 Bomb Making,,,,,,,May 04 Training,Azhari Apprenticeship,Murder Of Palu Prosecutor Fery Silalahi (May 04),Jun 04 Bomb Making,,Jul 04 West Ceram,Australian Embassy (Sep 04),,,,,,,,Attack on Brimob Post in West Ceram (May 05),,"Training for BALI II in ""Selera"" restaurant","Oct 05 Course, Slopes of Mt Ungaran",Bali II    (Oct 05),,,,,
,10/1999,10/1999,from late 1999 and 02/2000,01/2000,01/08/2000,24/12/2000,30/12/2000,05/2001,01/08/2001,from 08/2001 to 09/2001,late 2001-early 2002,08/2002,12/10/2002,from 06/2002 to 02/2003,early 2003,06/05/2003,07/06/2003,from 03/07/2003,05/08/2003,late 08/2003 after Marriot bombing,09/2003,18/11/2003,2003,01/2004,'from 01/2004 to 02/2004,after 02/2004,03/2004,unkown - but possibly on 2004,04/2004,early 05/2004,05/2004 - but after the meeting n.8,05/2004,'from 05/2004 ,26/05/2004,from mid 06/2004 to 05/07/2004,22/06/2004,07/2004,09/09/2004,early 10/2004,10/2004,10/2004 - but after the meeting n.14,not longer after mid- 10/2004,"10/2004 - but after the meetings n. 14,15,16",early 01/2005,05/2005,16/05/2005,06 or 07/2005,09/2005,10/2005,01/10/2005,,,,,
Abdul Malik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Abdul Rauf,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Abdul Rohim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Abdullah Sunata,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Abdullah Sungkar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Abu Bakar Ba'asyir,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Abu Dujanah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Abu Fida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Aceng Kurnia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
